resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
221,172015,mazzacane,,,,,,,,,,,,,,,
238,172015,barrichello,,,,,,,,,,,,,,,
255,172015,fisichella,,,,,,,,,,,,,,,
272,172015,ralf_schumacher,,,,,,,,,,,,,,,
289,172015,gene,,,,,,,,,,,,,,,
17,172016,hakkinen,,,,,,,,,,,,,,,
34,172016,villeneuve,,,,,,,,,,,,,,,
51,172016,ralf_schumacher,,,,,,,,,,,,,,,
68,172016,frentzen,,,,,,,,,,,,,,,
85,172016,button,,,,,,,,,,,,,,,
102,172016,verstappen,,,,,,,,,,,,,,,
119,172016,alesi,,,,,,,,,,,,,,,
136,172016,rosa,,,,,,,,,,,,,,,
153,172016,rosa,,,,,,,,,,,,,,,
170,172016,rosa,,,,,,,,,,,,,,,
187,172016,wurz,,,,,,,,,,,,,,,
204,172016,mazzacane,,,,,,,,,,,,,,,
221,172016,mazzacane,,,,,,,,,,,,,,,
238,172016,barrichello,,,,,,,,,,,,,,,
255,172016,fisichella,,,,,,,,,,,,,,,
272,172016,ralf_schumacher,,,,,,,,,,,,,,,
289,172016,gene,,,,,,,,,,,,,,,
17,172017,hakkinen,,,,,,,,,,,,,,,
34,172017,villeneuve,,,,,,,,,,,,,,,
51,172017,ralf_schumacher,,,,,,,,,,,,,,,
68,172017,frentzen,,,,,,,,,,,,,,,
85,172017,button,,,,,,,,,,,,,,,
102,172017,verstappen,,,,,,,,,,,,,,,
119,172017,alesi,,,,,,,,,,,,,,,
136,172017,rosa,,,,,,,,,,,,,,,
153,172017,rosa,,,,,,,,,,,,,,,
170,172017,rosa,,,,,,,,,,,,,,,
187,172017,wurz,,,,,,,,,,,,,,,
204,172017,mazzacane,,,,,,,,,,,,,,,
221,172017,mazzacane,,,,,,,,,,,,,,,
238,172017,barrichello,,,,,,,,,,,,,,,
255,172017,fisichella,,,,,,,,,,,,,,,
272,172017,ralf_schumacher,,,,,,,,,,,,,,,
289,172017,gene,,,,,,,,,,,,,,,
17,172018,hakkinen,,,,,,,,,,,,,,,
34,172018,villeneuve,,,,,,,,,,,,,,,
51,172018,ralf_schumacher,,,,,,,,,,,,,,,
68,172018,frentzen,,,,,,,,,,,,,,,
85,172018,button,,,,,,,,,,,,,,,
102,172018,verstappen,,,,,,,,,,,,,,,
119,172018,alesi,,,,,,,,,,,,,,,
136,172018,rosa,,,,,,,,,,,,,,,
153,172018,rosa,,,,,,,,,,,,,,,
170,172018,rosa,,,,,,,,,,,,,,,
187,172018,wurz,,,,,,,,,,,,,,,
204,172018,mazzacane,,,,,,,,,,,,,,,
221,172018,mazzacane,,,,,,,,,,,,,,,
238,172018,barrichello,,,,,,,,,,,,,,,
255,172018,fisichella,,,,,,,,,,,,,,,
272,172018,ralf_schumacher,,,,,,,,,,,,,,,
289,172018,gene,,,,,,,,,,,,,,,
17,172019,hakkinen,,,,,,,,,,,,,,,
34,172019,villeneuve,,,,,,,,,,,,,,,
51,172019,ralf_schumacher,,,,,,,,,,,,,,,
68,172019,frentzen,,,,,,,,,,,,,,,
85,172019,button,,,,,,,,,,,,,,,
102,172019,verstappen,,,,,,,,,,,,,,,
119,172019,alesi,,,,,,,,,,,,,,,
136,172019,rosa,,,,,,,,,,,,,,,
153,172019,rosa,,,,,,,,,,,,,,,
170,172019,rosa,,,,,,,,,,,,,,,
187,172019,wurz,,,,,,,,,,,,,,,
204,172019,mazzacane,,,,,,,,,,,,,,,
221,172019,mazzacane,,,,,,,,,,,,,,,
238,172019,barrichello,,,,,,,,,,,,,,,
255,172019,fisichella,,,,,,,,,,,,,,,
272,172019,ralf_schumacher,,,,,,,,,,,,,,,
289,172019,gene,,,,,,,,,,,,,,,
17,172020,hakkinen,,,,,,,,,,,,,,,
34,172020,villeneuve,,,,,,,,,,,,,,,
51,172020,ralf_schumacher,,,,,,,,,,,,,,,
68,172020,frentzen,,,,,,,,,,,,,,,
85,172020,button,,,,,,,,,,,,,,,
102,172020,verstappen,,,,,,,,,,,,,,,
119,172020,alesi,,,,,,,,,,,,,,,
136,172020,rosa,,,,,,,,,,,,,,,
153,172020,rosa,,,,,,,,,,,,,,,
170,172020,rosa,,,,,,,,,,,,,,,
187,172020,wurz,,,,,,,,,,,,,,,
204,172020,mazzacane,,,,,,,,,,,,,,,
221,172020,mazzacane,,,,,,,,,,,,,,,
238,172020,barrichello,,,,,,,,,,,,,,,
255,172020,fisichella,,,,,,,,,,,,,,,
272,172020,ralf_schumacher,,,,,,,,,,,,,,,
289,172020,gene,,,,,,,,,,,,,,,
17,172021,hakkinen,,,,,,,,,,,,,,,
34,172021,villeneuve,,,,,,,,,,,,,,,
51,172021,ralf_schumacher,,,,,,,,,,,,,,,
68,172021,frentzen,,,,,,,,,,,,,,,
85,172021,button,,,,,,,,,,,,,,,
102,172021,verstappen,,,,,,,,,,,,,,,
119,172021,alesi,,,,,,,,,,,,,,,
136,172021,rosa,,,,,,,,,,,,,,,
153,172021,rosa,,,,,,,,,,,,,,,
170,172021,rosa,,,,,,,,,,,,,,,
187,172021,wurz,,,,,,,,,,,,,,,
204,172021,mazzacane,,,,,,,,,,,,,,,
221,172021,mazzacane,,,,,,,,,,,,,,,
238,172021,barrichello,,,,,,,,,,,,,,,
255,172021,fisichella,,,,,,,,,,,,,,,
272,172021,ralf_schumacher,,,,,,,,,,,,,,,
289,172021,gene,,,,,,,,,,,,,,,
17,172022,hakkinen,,,,,,,,,,,,,,,
34,172022,villeneuve,,,,,,,,,,,,,,,
51,172022,ralf_schumacher,,,,,,,,,,,,,,,
68,172022,frentzen,,,,,,,,,,,,,,,
85,172022,button,,,,,,,,,,,,,,,
102,172022,verstappen,,,,,,,,,,,,,,,
119,172022,alesi,,,,,,,,,,,,,,,
136,172022,rosa,,,,,,,,,,,,,,,
153,172022,rosa,,,,,,,,,,,,,,,
170,172022,rosa,,,,,,,,,,,,,,,
187,172022,wurz,,,,,,,,,,,,,,,
204,172022,mazzacane,,,,,,,,,,,,,,,
221,172022,mazzacane,,,,,,,,,,,,,,,
238,172022,barrichello,,,,,,,,,,,,,,,
255,172022,fisichella,,,,,,,,,,,,,,,
272,172022,ralf_schumacher,,,,,,,,,,,,,,,
289,172022,gene,,,,,,,,,,,,,,,
17,172000,hakkinen,,,,,,,,,,,,,,,
34,172000,heidfeld,,,,,,,,,,,,,,,
51,172000,verstappen,,,,,,,,,,,,,,,
68,172000,villeneuve,,,,,,,,,,,,,,,
85,172000,barrichello,,,,,,,,,,,,,,,
102,172000,bernoldi,,,,,,,,,,,,,,,
119,172000,burti,,,,,,,,,,,,,,,
136,172000,barrichello,,,,,,,,,,,,,,,
153,172000,heidfeld,,,,,,,,,,,,,,,
170,172000,alonso,,,,,,,,,,,,,,,
187,172000,ralf_schumacher,,,,,,,,,,,,,,,
204,172000,raikkonen,,,,,,,,,,,,,,,
221,172000,trulli,,,,,,,,,,,,,,,
238,172000,rosa,,,,,,,,,,,,,,,
255,172000,verstappen,,,,,,,,,,,,,,,
272,172000,verstappen,,,,,,,,,,,,,,,
289,172000,fisichella,,,,,,,,,,,,,,,
17,172001,hakkinen,,,,,,,,,,,,,,,
34,172001,heidfeld,,,,,,,,,,,,,,,
51,172001,verstappen,,,,,,,,,,,,,,,
68,172001,villeneuve,,,,,,,,,,,,,,,
85,172001,barrichello,,,,,,,,,,,,,,,
102,172001,bernoldi,,,,,,,,,,,,,,,
119,172001,burti,,,,,,,,,,,,,,,
136,172001,barrichello,,,,,,,,,,,,,,,
153,172001,heidfeld,,,,,,,,,,,,,,,
170,172001,alonso,,,,,,,,,,,,,,,
187,172001,ralf_schumacher,,,,,,,,,,,,,,,
204,172001,raikkonen,,,,,,,,,,,,,,,
221,172001,trulli,,,,,,,,,,,,,,,
238,172001,rosa,,,,,,,,,,,,,,,
255,172001,verstappen,,,,,,,,,,,,,,,
272,172001,verstappen,,,,,,,,,,,,,,,
289,172001,fisichella,,,,,,,,,,,,,,,
17,172002,hakkinen,,,,,,,,,,,,,,,
34,172002,heidfeld,,,,,,,,,,,,,,,
51,172002,verstappen,,,,,,,,,,,,,,,
68,172002,villeneuve,,,,,,,,,,,,,,,
85,172002,barrichello,,,,,,,,,,,,,,,
102,172002,bernoldi,,,,,,,,,,,,,,,
119,172002,burti,,,,,,,,,,,,,,,
136,172002,barrichello,,,,,,,,,,,,,,,
153,172002,heidfeld,,,,,,,,,,,,,,,
170,172002,alonso,,,,,,,,,,,,,,,
187,172002,ralf_schumacher,,,,,,,,,,,,,,,
